Transcription-Units	Promoter	Absolute-Plus-1-Position	Binds-Sigma-Factor	Genes	Gene left	Gene right	Transcription-Direction	Names
artPIQM	artPp3	903843	RNA polymerase sigma factor RpoS	artM // artQ // artI // artP	900866 // 901534 // 902257 // 903006	901534 // 902250 // 902988 // 903734	-	artPIQM
otsA	otsAp	1981651	RNA polymerase sigma factor RpoS	otsA	1980188	1981612	-	otsA
znuA	znuAp	1942661	RNA polymerase sigma factor RpoS	znuA	1941651	1942583	-	znuA
ihfA	ihfAp4	1795721	RNA polymerase sigma factor RpoS	ihfA	1795253	1795552	-	ihfA // OP00240 // himA
pdeR	pdeRp	1346843	RNA polymerase sigma factor RpoS	pdeR	1344757	1346742	-	pdeR // gmr
evgLAS	evgLp1	2483641	RNA polymerase sigma factor RpoS	evgL // evgS // evgA	2483729 // 2484374 // 2483755	2483758 // 2487967 // 2484369	+	evgLAS
dhaKLM	dhaKp	1250944	RNA polymerase sigma factor RpoS	dhaM // dhaL // dhaK	1247696 // 1249125 // 1249768	1249114 // 1249757 // 1250838	-	dhaKLM
yciZT	yciZp	1344638	RNA polymerase sigma factor RpoS	yciZ // yciT	1344436 // 1343597	1344609 // 1344346	-	yciZT // yciT // deoT
osmC	osmCp2	1556606	RNA polymerase sigma factor RpoS	osmC	1556625	1557056	+	osmC
narU	narUp2	1544163	RNA polymerase sigma factor RpoS	narU	1542672	1544060	-	narU
			RNA polymerase sigma factor RpoS					
puuAP	puuAp	1360968	RNA polymerase sigma factor RpoS	ymjE // puuP // puuA	1359177 // 1357802 // 1359490	1359341 // 1359187 // 1360908	-	puuAP
insN-1p // insO1 // insI1 // insN	insN-1p	270226	RNA polymerase sigma factor RpoS	insI1 // insN	270603	271754	+	
araFGH	araFp2	1986148	RNA polymerase sigma factor RpoS	araH // araG // araF	1982554 // 1983555 // 1985139	1983540 // 1985069 // 1986128	-	araFGH
pfkB	pfkBp2	1806323	RNA polymerase sigma factor RpoS	pfkB	1806370	1807299	+	pfkB
alkA	alkAp	2147559	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	alkA	2146692	2147540	-	alkA // OP00002
gadEF-mdtEF	gadEp2	3658345	RNA polymerase sigma factor RpoS	gadF // mdtF // mdtE // gadE	3658992 // 3660414 // 3659232 // 3658366	3659082 // 3663527 // 3660389 // 3658893	+	gadEF-mdtEF
yihG	yihGp	4046652	RNA polymerase sigma factor RpoS	yihG	4045670	4046602	-	yihG
mutS	mutSp	2857019	RNA polymerase sigma factor RpoS	mutS	2857093	2859654	+	mutS
gpmM-envC-yibQ	gpmMp2	3785187	RNA polymerase sigma factor RpoS	yibQ // envC // gpmM	3788101 // 3786838 // 3785260	3789060 // 3788097 // 3786804	+	gpmM-envC-yibQ
yggE	yggEp1	3068126	RNA polymerase sigma factor RpoS	yggE	3067340	3068080	-	yggE
adrA	adrAp	403687	RNA polymerase sigma factor RpoS	dgcC	403703	404818	+	adrA // yaiC
glgS	glgSp2	3192002	RNA polymerase sigma factor RpoS	glgS	3191739	3191939	-	glgS
yhiM	yhiMp	3634743	RNA polymerase sigma factor RpoS	yhiM	3634841	3635893	+	yhiM
yciG	yciGp	1316092	RNA polymerase sigma factor RpoS	yciG	1315856	1316035	-	yciG
proP	proPp2	4330407	RNA polymerase sigma factor RpoS	proP	4330502	4332004	+	proP
cfa	cfap1	1741201	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	cfa	1741413	1742561	+	cfa // cdfA
otsBA	otsBp2	1982442	RNA polymerase sigma factor RpoS	otsB // otsA	1981587 // 1980188	1982387 // 1981612	-	otsBA
csrAp3 // csrA	csrAp3	2819273	RNA polymerase sigma factor RpoS	csrA	2818961	2819146	-	
yadV-htrE	yadVp2	156224	RNA polymerase sigma factor RpoS	htrE // yadV	152829 // 155461	155426 // 156201	-	yadV-htrE // ecpD // htrE
ada-alkB	adap	2310427	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	alkB // ada	2308691 // 2309341	2309341 // 2310405	-	ada-alkB // OP00100
gadX	gadXp	3665839	RNA polymerase sigma factor RpoS	gadX	3664986	3665810	-	gadX
fumC	fumCp2	1686709	RNA polymerase sigma factor RpoS	fumC	1685185	1686588	-	fumC // OP00146
pcnB-folk	pcnBp4	159391	RNA polymerase sigma factor RpoS	folK // pcnB	157253 // 157729	157732 // 159126	-	pcnB-folk
dkgB	dkgBp	229098	RNA polymerase sigma factor RpoS	dkgB	229167	229970	+	dkgB
hmp	hmpp	2685797	RNA polymerase sigma factor RpoS	hmp	2685835	2687025	+	hmp
yddG	yddGp	1547205	RNA polymerase sigma factor RpoS	yddG	1546288	1547169	-	yddG
tam	tamp	1607221	RNA polymerase sigma factor RpoS	tam	1607346	1608104	+	tam
lsrACDBFG-tam	lsrAp	1601460	RNA polymerase sigma factor RpoS	tam // lsrG // lsrF // lsrB // lsrD // lsrC // lsrA	1607346 // 1606999 // 1606100 // 1605051 // 1604047 // 1603019 // 1601490	1608104 // 1607289 // 1606975 // 1606073 // 1605039 // 1604047 // 1603025	+	lsrACDBFG-tam
yiaG	yiaGp	3719431	RNA polymerase sigma factor RpoS	yiaG	3719478	3719768	+	yiaG
sucAB	sucAp	758586	RNA polymerase sigma factor RpoS	sucB // sucA	761522 // 758706	762739 // 761507	+	sucAB
artPIQM	artPp2	903836	RNA polymerase sigma factor RpoS	artM // artQ // artI // artP	900866 // 901534 // 902257 // 903006	901534 // 902250 // 902988 // 903734	-	artPIQM
csgBAC	csgBp	1103859	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	csgC // csgB // csgA	1104961 // 1103951 // 1104447	1105293 // 1104406 // 1104902	+	csgBAC
gadEF	gadEp1	3658242	RNA polymerase sigma factor RpoS	gadF // gadE	3658992 // 3658366	3659082 // 3658893	+	gadEF
speC	speCp	3109175	RNA polymerase sigma factor RpoS	speC	3107020	3109155	-	speC // OP00166
yjcC	yjcCp	4275418	RNA polymerase sigma factor RpoS	pdeC	4275471	4277057	+	yjcC
csiD-ygaF-gabDTP	csiDp	2788927	RNA polymerase sigma factor RpoS	gabP // gabT // gabD // lhgD // glaH	2794253 // 2792735 // 2791273 // 2789982 // 2788985	2795653 // 2794015 // 2792721 // 2791250 // 2789962	+	csiD-ygaF-gabDTP // csiD
dhaR	dhaRp	1251003	RNA polymerase sigma factor RpoS	dhaR	1251066	1252985	+	dhaR
ansP	ansPp2	1526020	RNA polymerase sigma factor RpoS	ansP	1524481	1525980	-	ansP
ydcSTUV-patD	ydcSp1	1511599	RNA polymerase sigma factor RpoS	patD // ydcV // ydcU // ydcT // ydcS	1515578 // 1514762 // 1513831 // 1512817 // 1511654	1517002 // 1515556 // 1514772 // 1513830 // 1512799	+	ydcSTUV-patD
mpl	mplp1	4455728	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	mpl	4455785	4457158	+	mpl
blc	blcp	4377745	RNA polymerase sigma factor RpoS	blc	4377189	4377722	-	blc
dnaN-recF	dnaNp2	3882590	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	recF // dnaN	3880148 // 3881221	3881221 // 3882321	-	dnaN-recF
csgDEFG	csgDp2	1103335	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	csgG // csgF // csgE // csgD	1100851 // 1101711 // 1102152 // 1102546	1101684 // 1102127 // 1102541 // 1103196	-	csgDEFG
cbpAM	cbpAp2	1063828	RNA polymerase sigma factor RpoS	cbpM // cbpA	1062550 // 1062855	1062855 // 1063775	-	cbpAM
xthA	xthAp	1832399	RNA polymerase sigma factor RpoS	xthA	1832428	1833234	+	xthA
yffO-yffP	yffOp	2562053	RNA polymerase sigma factor RpoS	yffP // yffO	2562524 // 2562111	2563117 // 2562527	+	yffO-yffP
hdfR	hdfRp	3948021	RNA polymerase sigma factor RpoS	hdfR	3947128	3947967	-	hdfR
treA	treAp	1247425	RNA polymerase sigma factor RpoS	treA	1245679	1247376	-	treA
pfkB	pfkBp1	1806351	RNA polymerase sigma factor RpoS	pfkB	1806370	1807299	+	pfkB
ldcC	ldcCp		RNA polymerase sigma factor RpoS	ldcC	209679	211820	+	ldcC
uspB	uspBp	3639848	RNA polymerase sigma factor RpoS	uspB	3639385	3639720	-	uspB
speB	speBp	3083946	RNA polymerase sigma factor RpoS	speB	3082877	3083797	-	speB
puuCBE	puuCp	1362728	RNA polymerase sigma factor RpoS	puuE // puuB // puuC	1365550 // 1364232 // 1362743	1366815 // 1365512 // 1364230	+	puuCBE
adhE	adhEp2	1298309	RNA polymerase sigma factor RpoS	adhE	1295446	1298121	-	adhE
appY	appYp2	583656	RNA polymerase sigma factor RpoS	appY	583681	584430	+	appY
ybjP	ybjPp	904523	RNA polymerase sigma factor RpoS	ybjP	903952	904467	-	ybjP
otsBA	otsBp1	1982465	RNA polymerase sigma factor RpoS	otsA // otsB	1980188 // 1981587	1981612 // 1982387	-	otsBA
ssrS-ygfA	ssrSp2	3055759	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	fau // ssrS	3056241 // 3055983	3056789 // 3056165	+	ssrS-ygfA
gadY	gadYp	3664864	RNA polymerase sigma factor RpoS	gadY	3664864	3664969	+	gadY // IS183
adhE	adhEp1	1298413	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	adhE	1295446	1298121	-	adhE // OP00278
talA-tktB	talAp1	2578588	RNA polymerase sigma factor RpoS	tktB // talA	2579636 // 2578666	2581639 // 2579616	+	talA-tktB
nhaAR	nhaAp2	17317	RNA polymerase sigma factor RpoS	nhaR // nhaA	18715 // 17489	19620 // 18655	+	nhaAR
tcyJ	tcyJp	2000410	RNA polymerase sigma factor RpoS	tcyJ	1999585	2000385	-	tcyJ // fliY
bolA	bolAp1	454434	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	bolA	454472	454789	+	bolA
yabI	yabIp	71271	RNA polymerase sigma factor RpoS	yabI	71351	72115	+	yabI
ftsQ	ftsQp2	102742	RNA polymerase sigma factor RpoS	ftsQ	103155	103985	+	ftsQ
rsd	rsdp1	4196954	RNA polymerase sigma factor RpoS	rsd	4196332	4196808	-	rsd
yeiL	yeiLp	2255290	RNA polymerase sigma factor RpoS	yeiL	2255355	2256014	+	yeiL
talA-tktB	talAp2	2578570	RNA polymerase sigma factor RpoS	tktB // talA	2579636 // 2578666	2581639 // 2579616	+	talA-tktB
artPIQM	artPp1	903815	RNA polymerase sigma factor RpoS	artM // artQ // artI // artP	900866 // 901534 // 902257 // 903006	901534 // 902250 // 902988 // 903734	-	artPIQM
treF	treFp	3669551	RNA polymerase sigma factor RpoS	treF	3669592	3671241	+	treF
fbaB	fbaBp	2178667	RNA polymerase sigma factor RpoS	fbaB	2177512	2178564	-	fbaB
insC5CD5D5-yqiHIG	insC-5p	3186040	RNA polymerase sigma factor RpoS	yqiI // yqiH // yqiG // insD5 // insC5 // insCD5	3190632 // 3189881 // 3186510 // 3186187	3191696 // 3190630 // 3187415 // 3186552	+	insC5CD5D5-yqiHIG
asr	asrp	1671327	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	asr	1671376	1671684	+	asr
hofMNOP	hofMp	3522928	RNA polymerase sigma factor RpoS	hofM // hofN // hofO // hofP	3521972 // 3521433 // 3521009 // 3520615	3522751 // 3521972 // 3521449 // 3521019	-	hofMNOP
			RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD					
luxS	luxSp1	2815065	RNA polymerase sigma factor RpoS	luxS	2814218	2814733	-	luxS
gadAX	gadAp	3667607	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	gadX // gadA	3664986 // 3666180	3665810 // 3667580	-	gadAX
ddpXABCDF	ddpXp3	1563249	RNA polymerase sigma factor RpoS	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	1557112 // 1558031 // 1559014 // 1559907 // 1560931 // 1562495	1558038 // 1559017 // 1559910 // 1560929 // 1562481 // 1563076	-	ddpXABCDF
ansP	ansPp1	1526011	RNA polymerase sigma factor RpoS	ansP	1524481	1525980	-	ansP
ybgA-phr	ybgAp2	738920	RNA polymerase sigma factor RpoS	phr // ybgA	739507 // 739001	740925 // 739510	+	ybgA-phr
rssB	rssBp	1290220	RNA polymerase sigma factor RpoS	rssB	1290242	1291255	+	rssB
csgDEFG	csgDp1	1103344	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	csgG // csgF // csgE // csgD	1100851 // 1101711 // 1102152 // 1102546	1101684 // 1102127 // 1102541 // 1103196	-	csgDEFG
yebG	yebGp	1930765	RNA polymerase sigma factor RpoD	yebG	1930457	1930747	-	yebG
gapA	gapAp4	1862526	RNA polymerase sigma factor RpoD	gapA	1862771	1863766	+	gapA
narK	narKp1	1277932	RNA polymerase sigma factor RpoD	narS // narK	1279337 // 1277957	1279520 // 1279348	+	narK // OP00061
pyrD	pyrDp	1004732	RNA polymerase sigma factor RpoD	pyrD	1004768	1005778	+	pyrD // OP00084
ccmABCDEFGH	ccmAp		RNA polymerase sigma factor RpoD	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA	2291358 // 2292407 // 2292961 // 2294901 // 2295377 // 2295583 // 2296362 // 2297021	2292410 // 2292964 // 2294904 // 2295380 // 2295586 // 2296320 // 2297024 // 2297644	-	ccmABCDEFGH
ribA	ribAp2	1339234	RNA polymerase sigma factor RpoD	ribA	1338570	1339160	-	ribA
kdsC-lptCAB	kdsCp1	3342226	RNA polymerase sigma factor RpoD	lptB // lptA // lptC // kdsC	3343944 // 3343380 // 3342836 // 3342273	3344669 // 3343937 // 3343411 // 3342839	+	kdsC-lptCAB // kdsC-yrbK
ppiA	ppiAp2	3492395	RNA polymerase sigma factor RpoD	ppiA	3491725	3492297	-	ppiA // rot // rotA
cysB	cysBp	1333788	RNA polymerase sigma factor RpoD	cysB	1333855	1334829	+	cysB // OP00105 // cysGB
glcC	glcCp	3128206	RNA polymerase sigma factor RpoD	glcC	3128272	3129036	+	glcC
mtr	mtrp2	3305860	RNA polymerase sigma factor RpoD	mtr	3304573	3305817	-	mtr
sibB	sibBp	2153646	RNA polymerase sigma factor RpoD	sibB	2153646	2153781	+	sibB
ugpBAECQ	ugpBp1	3592378	RNA polymerase sigma factor RpoD	ugpQ // ugpC // ugpE // ugpA // ugpB	3587370 // 3588110 // 3589182 // 3590024 // 3591009	3588113 // 3589180 // 3590027 // 3590911 // 3592325	-	ugpBAECQ
gltIJKL-sroC	gltIp1	687896	RNA polymerase sigma factor RpoD	sroC // gltL // gltK // gltJ // gltI	686681 // 684530 // 685255 // 685929 // 686839	686843 // 685255 // 685929 // 686669 // 687747	-	gltIJKL-sroC // gltIJKL
mgtA	mgtAp2	4467280	RNA polymerase sigma factor RpoD	mgtL // mgtA	4467431 // 4467625	4467484 // 4470321	+	mgtA
metZWV	metZp	2947382	RNA polymerase sigma factor RpoD	metZ // metW // metV	2947387 // 2947497 // 2947607	2947463 // 2947573 // 2947683	+	metZWV // metZ
gspCDEFGHIJKLMO	gspCp3	3455531	RNA polymerase sigma factor RpoD	gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC	3465543 // 3465082 // 3463922 // 3462924 // 3462344 // 3461974 // 3461468 // 3461023 // 3459817 // 3458339 // 3456377 // 3455578	3466220 // 3465543 // 3465085 // 3463907 // 3462931 // 3462351 // 3461977 // 3461460 // 3461013 // 3459820 // 3458329 // 3456393	+	gspCDEFGHIJKLMO
carAB	carAp1	29551	RNA polymerase sigma factor RpoD	carA // carB	29651 // 30817	30799 // 34038	+	carAB // OP00150 // pyrA
dapB	dapBp1	28343	RNA polymerase sigma factor RpoD	dapB	28374	29195	+	dapB
micF	micFp1	2313084	RNA polymerase sigma factor RpoD	micF	2313084	2313176	+	micF
glyW-cysT-leuZ	glyWp	1992180	RNA polymerase sigma factor RpoD	3'ETS-<i>leuZ</i> // leuZ // cysT // glyW	1991748 // 1991815 // 1991914 // 1992042	1991814 // 1991901 // 1991987 // 1992117	-	glyW-cysT-leuZ
ubiG	ubiGp	2339539	RNA polymerase sigma factor RpoD	ubiG	2339567	2340289	+	ubiG // OP00168
bcp	bcpp	2600437	RNA polymerase sigma factor RpoD	bcp	2600478	2600948	+	bcp
aldA	aldAp	1488190	RNA polymerase sigma factor RpoD	aldA	1488232	1489671	+	aldA
cynTSX	cynTp	358773	RNA polymerase sigma factor RpoD	cynT // cynS // cynX	358799 // 359489 // 359992	359458 // 359959 // 361146	+	cynTSX // OP00193
fumB	fumBp	4347348	RNA polymerase sigma factor RpoD	fumB	4345680	4347326	-	fumB // OP00218
agaSYBCDI	agaSp	3281889	RNA polymerase sigma factor RpoD	agaI // agaD // agaC // agaB // kbaY // agaS	3286270 // 3285478 // 3284685 // 3284170 // 3283143 // 3281976	3287025 // 3286269 // 3285488 // 3284646 // 3284003 // 3283130	+	agaSYBCDI // agaSkbaYagaBCDI
hypF	hypFp1		RNA polymerase sigma factor RpoD	hypF	2835173	2837425	-	hypF
arcA	arcAp1	4640508	RNA polymerase sigma factor RpoD	arcA	4639590	4640306	-	arcA
hisBHAFI	hisBp	2093360	RNA polymerase sigma factor RpoD	hisI // hisF // hisA // hisH // hisB	2096614 // 2095844 // 2095125 // 2094535 // 2093468	2097225 // 2096620 // 2095862 // 2095125 // 2094535	+	hisBHAFI
pstB-phoU	pstBp1	3908556	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	phoU // pstB	3906853 // 3907593	3907578 // 3908366	-	pstB-phoU
gor	gorp	3646112	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	gor	3646299	3647651	+	gor // gorA
metC	metCp	3152075	RNA polymerase sigma factor RpoD	metC	3152236	3153423	+	metC // OP00266
nagC	nagCp1	701865	RNA polymerase sigma factor RpoD	nagC	700374	701594	-	nagC
wza-wzb-wzc-wcaAB	wzap1	2137583	RNA polymerase sigma factor RpoD	wcaB // wcaA // wzc // wzb // wza	2132067 // 2132558 // 2133490 // 2135655 // 2136104	2132555 // 2133397 // 2135652 // 2136098 // 2137243	-	wza-wzb-wzc-wcaAB // OP00290 // cps // cpsB // cpsGB
rrsA-ileT-alaT-rrlA-rrfA	rrsAp2	4035356	RNA polymerase sigma factor RpoD	rrfA // rrlA // alaT // ileT // rrsA	4040517 // 4037519 // 4037260 // 4037141 // 4035531	4040636 // 4040423 // 4037335 // 4037217 // 4037072	+	rrsA-ileT-alaT-rrlA-rrfA
serA	serAp1	3058456	RNA polymerase sigma factor RpoD	serA	3057178	3058410	-	serA // OP00315
dnaAN-recF	dnaAp2	3883882	RNA polymerase sigma factor RpoD	recF // dnaN // dnaA	3880148 // 3881221 // 3882326	3881221 // 3882321 // 3883729	-	dnaAN-recF
artPIQM	artPp	903769	RNA polymerase sigma factor RpoD	artM // artQ // artI // artP	900866 // 901534 // 902257 // 903006	901534 // 902250 // 902988 // 903734	-	artPIQM
polB	polBp	65803	RNA polymerase sigma factor RpoD	polB	63429	65780	-	polB // dinA
sdiA	sdiAp2	1996897	RNA polymerase sigma factor RpoD	sdiA	1996110	1996832	-	sdiA
paaXY	paaXp	1463509	RNA polymerase sigma factor RpoD	paaY // paaX	1464471 // 1463539	1465061 // 1464489	+	paaXY
dapA-nlpB	dapAp	2599784	RNA polymerase sigma factor RpoD	bamC // dapA	2597831 // 2598882	2598865 // 2599760	-	dapA-nlpB
xapR	xapRp2	2522563	RNA polymerase sigma factor RpoD	xapR	2521593	2522477	-	xapR
flgBCDEFGHIJ	flgBp	1130993	RNA polymerase sigma factor RpoD	flgB // flgC // flgD // flgE // flgF // flgG // flgH // flgI // flgJ	1131018 // 1131438 // 1131854 // 1132574 // 1133802 // 1134729 // 1135564 // 1136274 // 1137371	1131434 // 1131842 // 1132549 // 1133782 // 1134557 // 1135511 // 1136262 // 1137371 // 1138312	+	flgBCDEFGHIJ
glnQ	glnQp	846631	RNA polymerase sigma factor RpoD	glnQ	845741	846463	-	glnQ
sdiA	sdiAp4	1996857	RNA polymerase sigma factor RpoD	sdiA	1996110	1996832	-	sdiA
secG-leuU	secGp2	3322590	RNA polymerase sigma factor RpoD	leuU // secG	3322072 // 3322173	3322158 // 3322505	-	secG-leuU
